frame,rgyr,e2e,nhb,i3,i4,iL,bang_mean,bang_rms,tors_mean,alpha_frac,e_morse,e_angle,e_torsion,e_hydro,e_native,thermal,rmsd_native,rmsd_c1,rmsd_c2,rmsd_c3,rmsd_c4
1040,8.8826,0.0000,215,46,36,133,98.46,41.95,-0.79,0.376,11.0300,27.6295,250.4299,-1.7458,10.0005,0.5338,10.9702,10.9702,0.0000,0.0000,0.0000
1050,8.8810,0.0000,216,43,40,133,98.38,41.98,0.30,0.366,10.7526,27.5371,250.9664,-1.7454,9.8880,0.5005,10.9693,10.9693,0.0000,0.0000,0.0000
1060,8.8795,0.0000,215,38,43,134,98.33,41.66,0.12,0.376,10.6922,27.3677,250.9989,-1.7458,9.8763,0.4672,10.9685,10.9685,0.0000,0.0000,0.0000
1070,8.8781,0.0000,213,37,44,132,98.19,41.56,1.43,0.376,10.5373,27.3404,251.2167,-1.7472,9.7881,0.4339,10.9678,10.9678,0.0000,0.0000,0.0000
1080,8.8769,0.0000,212,36,45,131,98.13,41.31,1.69,0.369,10.8395,27.4499,252.7460,-1.7528,9.6843,0.4006,10.9678,10.9678,0.0000,0.0000,0.0000
1090,8.8756,0.0000,212,36,45,131,98.12,41.32,0.31,0.369,11.1908,27.4963,252.3894,-1.7540,9.5915,0.3673,10.9674,10.9674,0.0000,0.0000,0.0000
1100,8.8741,0.0000,211,36,45,130,98.30,41.26,0.14,0.372,11.1116,27.4282,251.6224,-1.7536,9.7001,0.3340,10.9666,10.9666,0.0000,0.0000,0.0000
1110,8.8726,0.0000,212,35,46,131,98.26,41.09,0.32,0.372,10.7992,27.4294,251.6380,-1.7533,9.7479,0.3007,10.9659,10.9659,0.0000,0.0000,0.0000
1120,8.8711,0.0000,212,35,46,131,98.26,41.13,0.31,0.372,10.5428,27.4734,251.3543,-1.7533,9.6737,0.2674,10.9651,10.9651,0.0000,0.0000,0.0000
1130,8.8696,0.0000,212,35,46,131,98.34,41.25,1.92,0.372,10.3522,27.4680,251.5418,-1.7535,9.5817,0.2341,10.9642,10.9642,0.0000,0.0000,0.0000
1140,8.8681,0.0000,212,35,46,131,98.43,41.26,1.57,0.372,10.2264,27.4351,251.0593,-1.7538,9.4770,0.2008,10.9635,10.9635,0.0000,0.0000,0.0000
1150,8.8667,0.0000,213,35,46,132,98.58,41.43,1.63,0.369,10.1243,27.3973,250.9339,-1.7543,9.4062,0.1675,10.9628,10.9628,0.0000,0.0000,0.0000
1160,8.8652,0.0000,213,35,46,132,98.72,41.48,3.28,0.362,10.0108,27.3550,254.0727,-1.7565,9.3120,0.1342,10.9622,10.9622,0.0000,0.0000,0.0000
1170,8.8639,0.0000,213,35,46,132,98.42,41.17,1.95,0.366,9.8426,27.4441,251.7745,-1.7678,9.2390,0.1009,10.9616,10.9616,0.0000,0.0000,0.0000
1180,8.8626,0.0000,213,35,46,132,98.39,41.17,1.87,0.366,9.7396,27.4496,251.7705,-1.7709,9.2383,0.0676,10.9610,10.9610,0.0000,0.0000,0.0000
1190,8.8613,0.0000,213,35,46,132,98.41,41.12,1.89,0.366,9.6114,27.3442,251.2757,-1.7693,9.1462,0.0343,10.9602,10.9602,0.0000,0.0000,0.0000
1200,8.8600,0.0000,213,35,47,131,98.53,41.23,1.92,0.369,9.5317,27.2446,251.4869,-1.7685,9.1485,0.0010,10.9595,10.9595,0.0000,0.0000,0.0000
1210,8.8587,0.0000,213,35,47,131,98.35,41.11,2.02,0.359,9.3754,27.2649,252.3720,-1.7664,9.1079,0.0010,10.9589,10.9589,0.0000,0.0000,0.0000
1220,8.8575,0.0000,213,35,47,131,98.37,41.20,2.12,0.362,9.3986,27.3333,252.4876,-1.7663,9.1015,0.0010,10.9583,10.9583,0.0000,0.0000,0.0000
1230,8.8562,0.0000,213,35,47,131,98.28,41.03,2.01,0.362,9.3562,27.3005,252.1425,-1.7666,9.0204,0.0010,10.9577,10.9577,0.0000,0.0000,0.0000
1240,8.8550,0.0000,214,35,47,132,98.27,41.00,1.81,0.369,9.2114,27.1991,251.6533,-1.7664,9.0120,0.0010,10.9570,10.9570,0.0000,0.0000,0.0000
1250,8.8537,0.0000,214,35,47,132,98.40,41.10,2.96,0.372,9.1816,27.0814,251.5087,-1.7670,8.9846,0.0010,10.9564,10.9564,0.0000,0.0000,0.0000
1260,8.8525,0.0000,214,35,47,132,98.57,41.12,3.20,0.372,9.1207,27.0334,252.5154,-1.7677,8.8752,0.0010,10.9557,10.9557,0.0000,0.0000,0.0000
1270,8.8513,0.0000,216,35,48,133,98.73,41.16,2.92,0.376,9.1294,27.0079,251.6237,-1.7685,8.7544,0.0010,10.9552,10.9552,0.0000,0.0000,0.0000
1280,8.8501,0.0000,216,35,48,133,98.81,41.17,2.97,0.369,9.2016,26.9768,251.7177,-1.7695,8.7010,0.0010,10.9547,10.9547,0.0000,0.0000,0.0000
1290,8.8490,0.0000,216,35,48,133,98.87,41.11,4.30,0.369,9.2171,26.9136,251.9131,-1.7702,8.6636,0.0010,10.9542,10.9542,0.0000,0.0000,0.0000
1300,8.8478,0.0000,217,36,48,133,99.03,41.24,1.85,0.366,9.1731,26.8737,252.6834,-1.7702,8.6383,0.0010,10.9537,10.9537,0.0000,0.0000,0.0000
1310,8.8467,0.0000,217,36,48,133,99.23,41.33,3.02,0.372,9.1143,26.7954,251.5667,-1.7701,8.7268,0.0010,10.9532,10.9532,0.0000,0.0000,0.0000
1320,8.8457,0.0000,217,36,48,133,99.37,41.52,3.03,0.372,9.0878,26.7631,251.3400,-1.7704,8.7223,0.0010,10.9526,10.9526,0.0000,0.0000,0.0000
1330,8.8446,0.0000,217,36,48,133,99.48,41.68,3.02,0.372,9.0816,26.7239,252.2521,-1.7709,8.6744,0.0010,10.9521,10.9521,0.0000,0.0000,0.0000
1340,8.8436,0.0000,217,36,48,133,99.50,41.62,1.80,0.376,9.0959,26.5450,251.7024,-1.7703,8.6271,0.0010,10.9517,10.9517,0.0000,0.0000,0.0000
1350,8.8427,0.0000,217,36,48,133,99.47,41.60,1.82,0.372,9.0965,26.4690,251.5339,-1.7703,8.6006,0.0010,10.9513,10.9513,0.0000,0.0000,0.0000
1360,8.8417,0.0000,217,36,48,133,99.24,41.43,1.87,0.372,9.0381,26.4987,251.5345,-1.7711,8.5546,0.0010,10.9509,10.9509,0.0000,0.0000,0.0000
1370,8.8408,0.0000,217,36,48,133,99.28,41.44,1.71,0.376,8.9944,26.4874,250.7139,-1.7713,8.4986,0.0010,10.9504,10.9504,0.0000,0.0000,0.0000
1380,8.8400,0.0000,218,37,49,132,98.90,41.19,1.63,0.379,8.8077,26.3929,249.8424,-1.7702,8.6365,0.0010,10.9502,10.9502,0.0000,0.0000,0.0000
1390,8.8391,0.0000,218,37,49,132,98.68,41.21,1.69,0.379,8.9500,26.4701,250.4884,-1.7698,9.0956,0.0010,10.9498,10.9498,0.0000,0.0000,0.0000
1400,8.8380,0.0000,218,37,49,132,98.67,41.24,1.73,0.372,8.8322,26.4678,251.6469,-1.7696,8.8319,0.0010,10.9493,10.9493,0.0000,0.0000,0.0000
1410,8.8370,0.0000,218,37,49,132,98.74,41.16,1.61,0.369,8.6685,26.3752,250.4077,-1.7703,8.4503,0.0010,10.9488,10.9488,0.0000,0.0000,0.0000
1420,8.8360,0.0000,218,37,49,132,98.61,40.90,3.01,0.369,8.5989,26.3353,250.6187,-1.7707,8.2286,0.0010,10.9483,10.9483,0.0000,0.0000,0.0000
1430,8.8349,0.0000,218,37,49,132,98.62,40.87,3.13,0.376,8.5881,26.3442,250.8526,-1.7701,8.0829,0.0010,10.9479,10.9479,0.0000,0.0000,0.0000
1440,8.8339,0.0000,218,37,49,132,98.79,41.05,3.14,0.376,8.5336,26.3380,251.2030,-1.7696,7.9751,0.0010,10.9474,10.9474,0.0000,0.0000,0.0000
1450,8.8330,0.0000,218,37,49,132,98.98,41.13,4.50,0.379,8.4498,26.3096,251.9418,-1.7698,7.8995,0.0010,10.9471,10.9471,0.0000,0.0000,0.0000
1460,8.8320,0.0000,218,37,49,132,99.16,41.25,4.47,0.376,8.4246,26.2785,252.0892,-1.7703,7.8736,0.0010,10.9468,10.9468,0.0000,0.0000,0.0000
